ward_id,ward_name,center_lat,center_lon,canopy_cover_pct,building_density_pct,albedo_index,informal_settlement_pct,nearest_clinic_distance_km,nearest_cooling_center_distance_km,chw_density_per_100_patients,base_temp,vulnerability_index
W01,Vasant Vihar,23.0225,72.5714,28,45,0.35,12,0.8,1.2,4.5,38.2,0.19
W02,Nehru Nagar,23.0301,72.5605,15,70,0.22,35,1.5,0.9,3.0,41.5,0.5
W03,Shastri Nagar,23.0422,72.5851,8,85,0.15,65,2.4,3.1,1.5,44.2,0.79
W04,Rajendra Ward,23.011,72.592,18,60,0.28,20,1.1,1.5,3.5,40.1,0.37
W05,Ganga Nagar Slums,23.053,72.551,3,92,0.12,80,3.2,4.0,1.0,45.8,0.95
W06,Subhash Ward,23.0015,72.545,22,50,0.3,15,0.9,2.0,4.0,39.0,0.27
W07,Indira Nagar,23.064,72.573,11,78,0.18,55,1.8,2.5,2.2,43.1,0.67
W08,Tilak Colony,22.989,72.568,25,40,0.33,8,0.5,1.0,5.0,38.0,0.15
W09,Prasad Nagar,23.035,72.611,13,72,0.2,48,2.1,2.8,2.5,42.6,0.62
W10,Vivekananda Ward,23.028,72.531,30,35,0.4,5,0.7,0.8,5.5,37.5,0.1
